seq,module_path,op,mapping,total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,activation_read_cycles,weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes
165,vision_encoder.backbone.layer.8.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
166,vision_encoder.backbone.layer.8.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
167,vision_encoder.backbone.layer.8.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
168,vision_encoder.backbone.layer.8.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
169,vision_encoder.backbone.layer.8.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
170,vision_encoder.backbone.layer.8.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
171,vision_encoder.backbone.layer.8.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
172,vision_encoder.backbone.layer.9.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
173,vision_encoder.backbone.layer.9.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
174,vision_encoder.backbone.layer.9.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
175,vision_encoder.backbone.layer.9.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
176,vision_encoder.backbone.layer.9.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
