descriptor_id,source_seq,module_path,op,mapping,total_cycles,base_total_cycles,fallback_cycles,vector_cycles,activation_read_cycles,weight_read_cycles,write_cycles,snapshot_cycles,requant_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,active_pe_cycles,serial_total_cycles,compute_cycles,base_write_cycles,bias_cycles,write_coalesced,mode
94,94,text_encoder.bert.encoder.layer.11.intermediate.dense,GEMM_W8A8,rtl_gemm,50192,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,double_buffer
95,95,text_encoder.bert.encoder.layer.11.output.dense,GEMM_W8A8,rtl_gemm,49424,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,double_buffer
96,96,text_encoder.bert.encoder.layer.11.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
97,97,text_encoder.bert.pooler.dense,GEMM_W8A8,rtl_gemm,6288,12592,0,,6144,6144,48,32,48,589824,8,768,589824,768,294912,12592,6272,48,48,False,double_buffer
98,98,text_encoder.text_projection,GEMM_W8A8,rtl_gemm,4720,10344,0,,4608,4608,336,24,336,4128768,6,16128,196608,5376,2064384,10344,4704,336,336,False,double_buffer
99,99,vision_encoder.backbone.embeddings.patch_embeddings,AUX_EVENT,aux_behavior,147456,147456,147456,0,49152,0,24576,0,0,0,0,786432,0,393216,0,,,,,,
100,100,vision_encoder.backbone.layer.0.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
101,101,vision_encoder.backbone.layer.0.attention.q_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
102,102,vision_encoder.backbone.layer.0.attention.k_proj,GEMM_W8A8,rtl_gemm,106640,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,double_buffer
103,103,vision_encoder.backbone.layer.0.attention.v_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
104,104,vision_encoder.backbone.layer.0.attention.o_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
105,105,vision_encoder.backbone.layer.0.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
106,106,vision_encoder.backbone.layer.0.mlp.up_proj,GEMM_W8A8,rtl_gemm,426512,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,double_buffer
107,107,vision_encoder.backbone.layer.0.mlp.down_proj,GEMM_W8A8,rtl_gemm,419984,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,double_buffer
108,108,vision_encoder.backbone.layer.1.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
109,109,vision_encoder.backbone.layer.1.attention.q_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
110,110,vision_encoder.backbone.layer.1.attention.k_proj,GEMM_W8A8,rtl_gemm,106640,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,double_buffer
111,111,vision_encoder.backbone.layer.1.attention.v_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
112,112,vision_encoder.backbone.layer.1.attention.o_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
113,113,vision_encoder.backbone.layer.1.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
114,114,vision_encoder.backbone.layer.1.mlp.up_proj,GEMM_W8A8,rtl_gemm,426512,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,double_buffer
115,115,vision_encoder.backbone.layer.1.mlp.down_proj,GEMM_W8A8,rtl_gemm,419984,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,double_buffer
116,116,vision_encoder.backbone.layer.2.norm1,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
117,117,vision_encoder.backbone.layer.2.attention.q_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
118,118,vision_encoder.backbone.layer.2.attention.k_proj,GEMM_W8A8,rtl_gemm,106640,236672,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,236672,106624,12528,0,False,double_buffer
119,119,vision_encoder.backbone.layer.2.attention.v_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
120,120,vision_encoder.backbone.layer.2.attention.o_proj,GEMM_W8A8,rtl_gemm,106640,249200,0,,104448,104448,12528,544,12528,153944064,136,200448,589824,200448,76972032,249200,106624,12528,12528,False,double_buffer
121,121,vision_encoder.backbone.layer.2.norm2,LAYER_NORM,aux_behavior,100224,100224,100224,100224,50112,0,50112,0,0,0,0,801792,0,801792,0,,,,,,
122,122,vision_encoder.backbone.layer.2.mlp.up_proj,GEMM_W8A8,rtl_gemm,426512,996800,0,,417792,417792,50112,2176,50112,615776256,544,200448,2359296,801792,307888128,996800,426496,50112,50112,False,double_buffer
123,123,vision_encoder.backbone.layer.2.mlp.down_proj,GEMM_W8A8,rtl_gemm,419984,875888,0,,417792,417792,12528,544,12528,615776256,136,801792,2359296,200448,307888128,875888,419968,12528,12528,False,double_buffer
