seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
71,text_encoder.bert.encoder.layer.8.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
72,text_encoder.bert.encoder.layer.8.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
73,text_encoder.bert.encoder.layer.9.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
74,text_encoder.bert.encoder.layer.9.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
75,text_encoder.bert.encoder.layer.9.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
76,text_encoder.bert.encoder.layer.9.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
77,text_encoder.bert.encoder.layer.9.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
78,text_encoder.bert.encoder.layer.9.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
79,text_encoder.bert.encoder.layer.9.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
80,text_encoder.bert.encoder.layer.9.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
81,text_encoder.bert.encoder.layer.10.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
82,text_encoder.bert.encoder.layer.10.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
83,text_encoder.bert.encoder.layer.10.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
84,text_encoder.bert.encoder.layer.10.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
85,text_encoder.bert.encoder.layer.10.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
86,text_encoder.bert.encoder.layer.10.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
87,text_encoder.bert.encoder.layer.10.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
88,text_encoder.bert.encoder.layer.10.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
89,text_encoder.bert.encoder.layer.11.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
90,text_encoder.bert.encoder.layer.11.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
91,text_encoder.bert.encoder.layer.11.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
92,text_encoder.bert.encoder.layer.11.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
93,text_encoder.bert.encoder.layer.11.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
94,text_encoder.bert.encoder.layer.11.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
95,text_encoder.bert.encoder.layer.11.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
96,text_encoder.bert.encoder.layer.11.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
97,text_encoder.bert.pooler.dense,GEMM_W8A16,rtl_gemm,overlap,12544,25040,25040,12544,,64,48,48,48,768,768,12288,12288,589824,16,1536,589824,1536,0
98,text_encoder.text_projection,GEMM_W8A16,rtl_gemm,overlap,9408,18656,18656,9408,,48,336,336,336,6048,6048,8192,8192,4128768,12,32256,196608,10752,0
99,vision_encoder.backbone.embeddings.patch_embeddings,AUX_EVENT,aux_behavior,overlap,147456,147456,,,147456,,,,,,,,,,,786432,,393216,
100,vision_encoder.backbone.layer.0.norm1,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
101,vision_encoder.backbone.layer.0.attention.q_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
102,vision_encoder.backbone.layer.0.attention.k_proj,GEMM_W8A16,rtl_gemm,overlap,213248,448288,448288,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
103,vision_encoder.backbone.layer.0.attention.v_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
104,vision_encoder.backbone.layer.0.attention.o_proj,GEMM_W8A16,rtl_gemm,overlap,213248,460816,460816,213248,,1088,12528,12528,12528,200448,200448,208896,208896,153944064,272,400896,589824,400896,0
105,vision_encoder.backbone.layer.0.norm2,LAYER_NORM,rtl_vector,overlap,100224,100224,,,100224,,,,,,,,,,,801792,,801792,
106,vision_encoder.backbone.layer.0.mlp.up_proj,GEMM_W8A16,rtl_gemm,overlap,852992,1843264,1843264,852992,,4352,50112,50112,50112,801792,801792,835584,835584,615776256,1088,400896,2359296,1603584,0
