descriptor_id,source_seq,op,mapping,total_cycles,mapped_cycles,fallback_cycles,compute_cycles,read_cycles,write_cycles,snapshot_cycles,requant_cycles,valid_mac_count,active_pe_cycles,tile_count,activation_bytes,weight_bytes,output_bytes
782,782,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
783,783,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
784,784,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
785,785,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
786,786,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
787,787,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
788,788,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
789,789,GEMM_W8A8,rtl_gemm,19760,19760,0,12544,6144,1008,64,1008,12386304,6193152,16,16128,589824,16128
790,790,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
791,791,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
792,792,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
793,793,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
794,794,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
795,795,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
796,796,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
797,797,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
798,798,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
799,799,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
800,800,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
801,801,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
802,802,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
803,803,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
804,804,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
805,805,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
806,806,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
807,807,GEMM_W8A8,rtl_gemm,19760,19760,0,12544,6144,1008,64,1008,12386304,6193152,16,16128,589824,16128
808,808,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
809,809,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
810,810,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
811,811,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
812,812,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
813,813,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
814,814,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
815,815,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
816,816,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
817,817,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
818,818,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
819,819,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
820,820,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
821,821,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
822,822,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
823,823,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
824,824,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
825,825,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
826,826,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
827,827,LAYOUT,layout_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
828,828,GEMM_W8A8,rtl_gemm,19760,19760,0,12544,6144,1008,64,1008,12386304,6193152,16,16128,589824,16128
829,829,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
830,830,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
831,831,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
832,832,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
833,833,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
834,834,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
835,835,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
836,836,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
837,837,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
838,838,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
839,839,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
840,840,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
841,841,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
842,842,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
843,843,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
844,844,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
845,845,ADD,vector_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
846,846,LAYER_NORM,vector_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
847,847,GEMM_W8A8,rtl_gemm,1013,1013,0,0,1,1008,4,1008,0,0,0,0,0,16128
848,848,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
849,849,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
850,850,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
851,851,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
852,852,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
853,853,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
854,854,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
855,855,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
856,856,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
857,857,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
858,858,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
859,859,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
860,860,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
861,861,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
862,862,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
863,863,GELU,vector_rtl,8064,0,8064,0,1,4032,0,0,0,0,0,1,0,64512
864,864,GEMM_W8A8,rtl_gemm,4037,4037,0,0,1,4032,4,4032,0,0,0,0,0,64512
865,865,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
866,866,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
867,867,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
868,868,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
869,869,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
870,870,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
871,871,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
872,872,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
873,873,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
